# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
P1400	MAZDA	DPFE Sensor Circuit Low Input
P1400	MERCURY	Differential Pressure Feedback Electronic Sensor Circuit Low Voltage
P1400	MITSUBISHI	Manifold Differential Pressure Sensor Circuit
P1400	NISSAN	EGRC Solenoid Valve
P1400	OTHER	DPFE Circuit Low Input
P1400	SUBARU	Fuel Tank Pressure Control Solenoid Low Input
P1400	TOYOTA	Sub-Throttle Position Sensor
P1400	VOLKSWAGEN	EGR Valve Circuit Electrical Malfunction
P1401	BMW	Heated Catalyst Current Too High During Heating Bank 1
P1401	FORD	Differential Pressure Feedback Electronic Sensor Circuit High Voltage
P1401	JAGUAR	Exhaust Gas Recirculation Valve Postion Circuit
P1401	KIA	EGR Control Solenoid Circuit Signal Low
P1401	LEXUS	EGR Valve Position Sensor Circuit Malfunction
P1401	LINCOLN	Differential Pressure Feedback Electronic Sensor Circuit High Voltage
P1401	MAZDA	DPFE Sensor Circuit High Input
P1401	MERCEDES	EGR Lifting Sender B283
P1401	MERCURY	Differential Pressure Feedback Electronic Sensor Circuit High Voltage
P1401	NISSAN	EGR Temperature Sensor
P1401	OTHER	DPFE Circuit High Input
P1401	SUBARU	Fuel Tank Pressure Control System Performance
P1401	TOYOTA	Sub-Throttle Position Sensor Range Performance Problem
P1401	VOLKSWAGEN	EGR Valve Power Stage Short To Ground
P1402	BMW	Heated Catalyst Power Switch Overtemperature Condition Bank 1
P1402	FORD	EGR Metering Orifice Restricted
P1402	KIA	EGR Control Solenoid Circuit Signal High
P1402	LINCOLN	EGR Metering Orifice Restricted
P1402	MAZDA	EGR Valve Position Sensor Circuit
P1402	MERCURY	EGR Metering Orifice Restricted
P1402	NISSAN	EGR System
P1402	OTHER	EGR Metering Orifice Restricted
P1402	SUBARU	Fuel Level Pressure Sensor Circuit Fault
P1402	VOLKSWAGEN	EGR Valve Circuit Short To B+
P1403	BMW	Carbon Canister Shut Off Valve Control Circuit Electrical
P1403	BUICK	Exhaust Gas Recirculation System Valve 1
P1403	CADILLAC	Exhaust Gas Recirculation System Valve 1
P1403	CHEVY	Exhaust Gas Recirculation System Valve 1
P1403	CHRYSLER	Exhaust Gas Recirculation System Valve 1
P1403	DODGE	Loss Of 5 Volts To EGR Sensor
P1403	FORD	Differential Pressure Feedback Electronic Sensor Hoses Reversed
P1403	GM	Exhaust Gas Recirculation System Valve 1
P1403	GMC	Exhaust Gas Recirculation System Valve 1
P1403	JEEP	Loss Of 5 Volts To EGR Sensor
P1403	LINCOLN	Differential Pressure Feedback Electronic Sensor Hoses Reversed
P1403	MERCURY	Differential Pressure Feedback Electronic Sensor Hoses Reversed
P1403	OLDSMOBILE	Exhaust Gas Recirculation System Valve 1
P1403	OTHER	DPFE Sensor Hoses Reversed
P1403	PLYMOUTH	Loss Of 5 Volts To EGR Sensor
P1403	PONTIAC	Loss Of 5 Volts To EGR Sensor
P1403	SATURN	Exhaust Gas Recirculation System Valve 1
P1403	VOLKSWAGEN	EGR Flow Deviation
P1404	BMW	Heated Catalyst Current Too High During Heating Bank 2
P1404	BUICK	Exhaust Gas Recirculation System Valve 2
P1404	CADILLAC	Exhaust Gas Recirculation System Valve 2
P1404	CHEVY	Exhaust Gas Recirculation System Valve 2
P1404	CHRYSLER	Exhaust Gas Recirculation System Valve 2
P1404	FORD	IAT - B Circuit Malfunction Exhaust Gas Recirculation Closed Position Performance
P1404	GM	Exhaust Gas Recirculation System Valve 2
P1404	GMC	Exhaust Gas Recirculation System Valve 2
P1404	LINCOLN	IAT B Circuit Malfunction Exhaust Gas Recirculation Closed Position Performance
P1404	MERCEDES	EGR Control
P1404	MERCURY	IAT B Circuit Malfunction Exhaust Gas Recirculation Closed Position Performance
P1404	OLDSMOBILE	Exhaust Gas Recirculation System Valve 2
P1404	OTHER	IAT - B Circuit Malfunction/ Exhaust Gas Recirculation Closed Position Performance
P1404	PLYMOUTH	Exhaust Gas Recirculation System Valve 2
P1404	PONTIAC	Exhaust Gas Recirculation System Valve 2
P1404	SATURN	Exhaust Gas Recirculation System Valve 2
P1404	VOLKSWAGEN	EGR Flow Adaptation Not Carried Out
P1405	BMW	Heated Catalyst Power Switch Overtemperature Condition Bank 2
P1405	BUICK	Exhaust Gas Recirculation System Valve 3
P1405	CADILLAC	Exhaust Gas Recirculation System Valve 3
P1405	CHEVY	Exhaust Gas Recirculation System Valve 3
P1405	CHRYSLER	Exhaust Gas Recirculation System Valve 3
P1405	FORD	Differential Pressure Feedback Electronic Sensor Circuit Upstream Hose
P1405	GM	Exhaust Gas Recirculation System Valve 3
P1405	GMC	Exhaust Gas Recirculation System Valve 3
P1405	LINCOLN	Differential Pressure Feedback Electronic Sensor Circuit Upstream Hose
P1405	MAZDA	DPFE Sensor Upstream Hose Off Or Plugged
P1405	MERCURY	Differential Pressure Feedback Electronic Sensor Circuit Upstream Hose
P1405	OLDSMOBILE	Exhaust Gas Recirculation System Valve 3
P1405	OTHER	DPFE Sensor Upstream Hose Off Or Plugged
P1405	PLYMOUTH	Exhaust Gas Recirculation System Valve 3
P1405	PONTIAC	Exhaust Gas Recirculation System Valve 3
P1405	SATURN	Exhaust Gas Recirculation System Valve 3
P1405	TOYOTA	Turbo Pressure Sensor Circuit
P1406	BMW	Heated Catalyst Internal Control Module Checksum ROM Error
P1406	BUICK	EGR Valve Pintle Position Circuit
P1406	CADILLAC	EGR Valve Pintle Position Circuit
P1406	CHEVY	EGR Valve Pintle Position Circuit
P1406	CHRYSLER	EGR Valve Pintle Position Circuit
P1406	FORD	Differential Pressure Feedback Electronic Sensor Circuit Downstream Hose
P1406	GM	EGR Valve Pintle Position Circuit
P1406	GMC	EGR Valve Pintle Position Circuit
P1406	LINCOLN	Differential Pressure Feedback Electronic Sensor Circuit Downstream Hose
P1406	MAZDA	DPFE Sensor Downstream Hose Off Or Plugged
P1406	MERCURY	Differential Pressure Feedback Electronic Sensor Circuit Downstream Hose
P1406	OLDSMOBILE	EGR Valve Pintle Position Circuit
P1406	OTHER	Exhaust Gas Recirculation (EGR) Position Sensor Performance
P1406	PLYMOUTH	EGR Valve Pintle Position Circuit
P1406	PONTIAC	EGR Valve Pintle Position Circuit
P1406	SATURN	EGR Valve Pintle Position Circuit
P1406	TOYOTA	Turbo Pressure Sensor Range Performance Problem
P1406	VOLKSWAGEN	EGR Temperature Sensor Range Performance
P1407	BUICK	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	CADILLAC	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	CHEVY	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	CHRYSLER	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	FORD	EGR No Flow Detected
P1407	GM	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	GMC	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	LINCOLN	EGR No Flow Detected
P1407	MAZDA	No EGR Flow Detected
P1407	MERCURY	EGR No Flow Detected
P1407	OLDSMOBILE	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	OTHER	EGR No Flow Detected
P1407	PLYMOUTH	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	PONTIAC	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	SATURN	EGR Air Intrusion In Exhaust Supply To EGR Valve
P1407	VOLKSWAGEN	EGR Temperature Sensor Signal Too Low
P1408	BUICK	Intake Manifold Pressure Sensor Circuit
P1408	CADILLAC	Intake Manifold Pressure Sensor Circuit
P1408	CHEVY	Intake Manifold Pressure Sensor Circuit
P1408	CHRYSLER	Intake Manifold Pressure Sensor Circuit
P1408	FORD	EGR Flow Out of Self-Test Range
P1408	GEO	MAP Sensor Circuit
P1408	GM	Intake Manifold Pressure Sensor Circuit
P1408	GMC	Intake Manifold Pressure Sensor Circuit
P1408	JAGUAR	Exhaust Gas Recirculation Thermister
P1408	LINCOLN	EGR Flow Out of Self-Test Range
P1408	MAZDA	EGR System Flow Out Of Key On Engine Running Self Test Range
P1408	MERCURY	EGR Flow Out of Self-Test Range
P1408	OLDSMOBILE	Intake Manifold Pressure Sensor Circuit
P1408	OTHER	EGR Flow Out Of Self Test Range
P1408	PLYMOUTH	Intake Manifold Pressure Sensor Circuit
P1408	PONTIAC	Intake Manifold Pressure Sensor Circuit
P1408	SATURN	Intake Manifold Pressure Sensor Circuit
P1408	SUZUKI	Maniforld Differential Pressure Sensor Circuit Fault
P1408	VOLKSWAGEN	EGR Temperature Sensor Signal Too High
P1409	BUICK	EGR Vacuum System Leak
P1409	CADILLAC	EGR Vacuum System Leak
P1409	CHEVY	EGR Vacuum System Leak
P1409	CHRYSLER	EGR Vacuum System Leak
P1409	FORD	EGR Vacuum Regulator Circuit Malfunction
P1409	GM	EGR Vacuum System Leak
P1409	GMC	EGR Vacuum System Leak
P1409	JAGUAR	Exhaust Gas Recirculation Valve Circuit
P1409	LINCOLN	EGR Vacuum Regulator Circuit Malfunction
P1409	MAZDA	EGR Vacuum Regulator Solenoid Circuit
P1409	MERCURY	EGR Vacuum Regulator Circuit Malfunction
P1409	OLDSMOBILE	EGR Vacuum System Leak
P1409	OTHER	EVR Control Circuit Malfunction
P1409	PLYMOUTH	EGR Vacuum System Leak
P1409	PONTIAC	EGR Vacuum System Leak
P1409	SATURN	EGR Vacuum System Leak
P1409	VOLKSWAGEN	Tank Ventilation Valve Electrical Malfunction
P1410	BUICK	Fuel Tank Pressure System
P1410	CADILLAC	Fuel Tank Pressure System
P1410	CHEVY	Fuel Tank Pressure System
P1410	CHRYSLER	Fuel Tank Pressure System
P1410	FORD	EGR Barometric Pressure Sensor VREF Voltage
P1410	GEO	Fuel Tank Pressure System Fault
P1410	GM	Fuel Tank Pressure System
P1410	GMC	Fuel Tank Pressure System
P1410	KIA	EVAP Purge Control Solenoid Circuit High Voltage
P1410	LEXUS	EGR Valve Position Sensor Circuit Malfunction
P1410	LINCOLN	EGR Barometric Pressure Sensor VREF Voltage
P1410	MAZDA	EGR Boost Solenoid Valve Stuck
P1410	MERCURY	EGR Barometric Pressure Sensor VREF Voltage
P1410	OLDSMOBILE	Fuel Tank Pressure System
P1410	PLYMOUTH	Fuel Tank Pressure System
P1410	PONTIAC	Fuel Tank Pressure System
P1410	SATURN	Fuel Tank Pressure System
P1410	SUZUKI	Fuel Tank Pressure Control Solenoid Circuit Fault
P1410	TOYOTA	EGR Valve Position Sensor Circuit Malfunction
P1410	VOLKSWAGEN	Tank Ventilation Valve Circuit Short To B+
P1411	FORD	Secondary Air is Not Being Diverted
P1411	LEXUS	EGR Valve Position Sensor Circuit Range Performance Malfunction
P1411	LINCOLN	Secondary Air is Not being Diverted
P1411	MERCURY	Secondary Air is Not being diverted
P1411	OTHER	SAI System Incorrect Downstream Flow Detected
P1411	TOYOTA	EGR Valve Position Sensor Circuit Range Performance
P1411	VOLKSWAGEN	Secondary Air Injection System Bank 2 Flow Too Lean
P1412	KIA	EGR Differential Pressure Sensor Signal Low
P1412	MAZDA	Exhaust Gas Recirculation Valve Frozen
P1412	VOLKSWAGEN	EGR Differential Pressure Sensor Signal Too Low
P1413	BMW	Secondary Air Injection Pump Relay Control Circuit Signal Low
P1413	FORD	Secondary Air Injection System Monitor Circuit Low Voltage
P1413	KIA	EGR Differential Pressure Sensor Signal High
P1413	LINCOLN	Secondary Air Injection System Monitor Circuit Low Voltage
P1413	MERCURY	Secondary Air Injection System Monitor Circuit Low Voltage
P1413	OTHER	SAI System Monitor Circuit Low Input
P1413	VOLKSWAGEN	EGR Differential Pressure Sensor Signal Too High
P1414	BMW	Secondary Air Injection System Monitor Circuit High
P1414	FORD	Secondary Air Injection System Monitor Circuit High Voltage
P1414	LINCOLN	Secondary Air Injection System Monitor Circuit High Voltage
P1414	MERCURY	Secondary Air Injection System Monitor Circuit High Voltage
P1414	OTHER	SAI System Monitor Circuit High Input
P1414	VOLKSWAGEN	Secondary Air Injection System Bank 2 Leak Detected
P1415	BUICK	Secondary Air Injection (AIR) System
P1415	CADILLAC	Secondary Air Injection (AIR) System
P1415	CHEVY	Secondary Air Injection (AIR) System
P1415	CHRYSLER	Secondary Air Injection (AIR) System
P1415	GM	Secondary Air Injection (AIR) System
P1415	GMC	Secondary Air Injection (AIR) System
P1415	MAZDA	Air Pump Circuit
P1415	OLDSMOBILE	Secondary Air Injection AIR System
P1415	OTHER	Air Pump Circuit Malfunction/ (AIR) System Bank 1
P1415	PLYMOUTH	Secondary Air Injection AIR System
P1415	PONTIAC	Secondary Air Injection AIR System
P1415	SATURN	Secondary Air Injection AIR System
P1416	BUICK	AIR System Bank 1
P1416	CADILLAC	AIR System Bank 1
P1416	CHEVY	AIR System Bank 1
P1416	CHRYSLER	AIR System Bank 1
P1416	GM	AIR System Bank 1
P1416	GMC	AIR System Bank 1
P1416	MAZDA	Port Air Circuit
P1416	OLDSMOBILE	AIR System Bank 1
P1416	OTHER	Port Air Circuit Malfunction/ (AIR) System Bank 2
P1416	PLYMOUTH	AIR System Bank 1
P1416	PONTIAC	AIR System Bank 1
P1416	SATURN	AIR System Bank 1
P1417	MAZDA	Port Air Relief Circuit
P1417	OTHER	Port Air Relief Circuit Malfunction
P1417	VOLKSWAGEN	Fuel Level Sensor Signal Too Low
P1418	BUICK	Secondary Air Injection System Relay A Control Circuit High
P1418	CADILLAC	Secondary Air Injection System Relay A Control Circuit High
P1418	CHEVY	Secondary Air Injection System Relay A Control Circuit High
P1418	CHRYSLER	Secondary Air Injection System Relay A Control Circuit High
P1418	GM	Secondary Air Injection System Relay A Control Circuit High
P1418	GMC	Secondary Air Injection System Relay A Control Circuit High
P1418	MAZDA	Split Air 1 Circuit
P1418	OLDSMOBILE	Secondary Air Injection System Relay A Control Circuit High
P1418	OTHER	Split Air #1 Circuit Malfunction
P1418	PLYMOUTH	Secondary Air Injection System Relay A Control Circuit High
P1418	PONTIAC	Secondary Air Injection System Relay A Control Circuit High
P1418	SATURN	Secondary Air Injection System Relay A Control Circuit High
P1418	VOLKSWAGEN	Fuel Level Sensor Signal Too High
P1419	MAZDA	Split Air 2 Circuit
P1419	OTHER	Split Air #2 Circuit Malfunction
P1420	BMW	Secondary Air Valve Control Circuit Electrical
P1420	BUICK	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	CADILLAC	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	CHEVY	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	CHRYSLER	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	GM	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	GMC	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	OLDSMOBILE	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	OTHER	Catalyst Temperature Sensor Failure
P1420	PLYMOUTH	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	PONTIAC	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	SATURN	Intake Air Low Pressure Switch Circuit Low Voltage
P1420	SUBARU	Fuel Tank Pressure Control Solenoid High Input
P1420	VOLKSWAGEN	Secondary Air Injection Control Module Electrical Malfunction
P1421	BMW	Secondary Air System Bank 1
P1421	BUICK	Intake Air Low Pressure Switch Circuit High Voltage
P1421	CADILLAC	Intake Air Low Pressure Switch Circuit High Voltage
P1421	CHEVY	Intake Air Low Pressure Switch Circuit High Voltage
P1421	CHRYSLER	Intake Air Low Pressure Switch Circuit High Voltage
P1421	GM	Intake Air Low Pressure Switch Circuit High Voltage
P1421	GMC	Intake Air Low Pressure Switch Circuit High Voltage
P1421	OLDSMOBILE	Intake Air Low Pressure Switch Circuit High Voltage
P1421	OTHER	Catalyst Damage
P1421	PLYMOUTH	Intake Air Low Pressure Switch Circuit High Voltage
P1421	PONTIAC	Intake Air Low Pressure Switch Circuit High Voltage
P1421	SATURN	Intake Air Low Pressure Switch Circuit High Voltage
P1421	SUBARU	Exhaust Gas Recirculation Circuit High Input
P1421	VOLKSWAGEN	Secondary Air Injection Valve Circuit Short To Ground
P1422	BMW	Secondary Air System Bank 2
P1422	OTHER	EGI Temperature Sensor Failure
P1422	SUBARU	EVAP Purge Control Solenoid Valve Circuit High Input
P1422	VOLKSWAGEN	Secondary Air Injection Valve Circuit Short To B+
P1423	BUICK	Intake Air High Pressure Switch Circuit High Voltage
P1423	CADILLAC	Intake Air High Pressure Switch Circuit High Voltage
P1423	CHEVY	Intake Air High Pressure Switch Circuit High Voltage
P1423	CHRYSLER	Intake Air High Pressure Switch Circuit High Voltage
P1423	GM	Intake Air High Pressure Switch Circuit High Voltage
P1423	GMC	Intake Air High Pressure Switch Circuit High Voltage
P1423	OLDSMOBILE	Intake Air High Pressure Switch Circuit High Voltage
P1423	OTHER	EGI Functionality Test Failed
P1423	PLYMOUTH	Intake Air High Pressure Switch Circuit High Voltage
P1423	PONTIAC	Intake Air High Pressure Switch Circuit High Voltage
P1423	SATURN	Intake Air High Pressure Switch Circuit High Voltage
P1423	SUBARU	EVAP Vent Control High Input
P1423	VOLKSWAGEN	Secondary Air Injection System Bank 1 Flow Too Low
P1424	OTHER	EGI Glow Plug Primary Failure
P1424	VOLKSWAGEN	Secondary Air Injection System Bank 1 Leak Detected
P1425	KIA	EVAP Purge Control Solenoid Circuit Low Voltage
P1425	OTHER	EGI Glow Plug Secondary Failure
P1425	VOLKSWAGEN	Tank Ventilation Valve Short To Ground
P1426	OTHER	EGI Mini - MAF Failed Out Of Range
P1426	VOLKSWAGEN	Tank Ventilation Valve Open Circuit
P1427	OTHER	EGI Mini - MAF Failed Short Circuit
P1428	OTHER	EGI Mini - MAF Failed Open Circuit
P1429	OTHER	Electric Air Pump Primary Failure
P1430	OTHER	Electric Air Pump Secondary Failure
P1431	BUICK	Fuel Level Sensor 2 Performance
P1431	CADILLAC	Fuel Level Sensor 2 Performance
P1431	CHEVY	Fuel Level Sensor 2 Performance
P1431	CHRYSLER	Fuel Level Sensor 2 Performance
P1431	FORD	Misfire Monitor Disabled Unable to Learn Trigger Wheel Profile
P1431	GM	Fuel Level Sensor 2 Performance
P1431	GMC	Fuel Level Sensor 2 Performance
P1431	LINCOLN	Misfire Monitor Disabled Unable to Learn Trigger Wheel Profile
P1431	MERCURY	Misfire Monitor Disabled Unable to Learn Trigger Wheel Profile
P1431	OLDSMOBILE	Fuel Level Sensor 2 Performance
P1431	PLYMOUTH	Fuel Level Sensor 2 Performance
P1431	PONTIAC	Fuel Level Sensor 2 Performance
P1431	SATURN	Fuel Level Sensor 2 Performance
P1432	BMW	Secondary Air Injection System Incorrect Flow Detected
P1432	BUICK	Fuel Level Sensor 2 Circuit Low Voltage
P1432	CADILLAC	Fuel Level Sensor 2 Circuit Low Voltage
P1432	CHEVY	Fuel Level Sensor 2 Circuit Low Voltage
P1432	CHRYSLER	Fuel Level Sensor 2 Circuit Low Voltage
P1432	GM	Fuel Level Sensor 2 Circuit Low Voltage
P1432	GMC	Fuel Level Sensor 2 Circuit Low Voltage
P1432	OLDSMOBILE	Fuel Level Sensor 2 Circuit Low Voltage
P1432	PLYMOUTH	Fuel Level Sensor 2 Circuit Low Voltage
P1432	PONTIAC	Fuel Level Sensor 2 Circuit Low Voltage
P1432	SATURN	Fuel Level Sensor 2 Circuit Low Voltage
P1432	VOLKSWAGEN	Secondary Air Injection Valve Open
P1433	BUICK	Fuel Level Sensor 2 Circuit High Voltage
P1433	CADILLAC	Fuel Level Sensor 2 Circuit High Voltage
P1433	CHEVY	Fuel Level Sensor 2 Circuit High Voltage
P1433	CHRYSLER	Fuel Level Sensor 2 Circuit High Voltage
P1433	GM	Fuel Level Sensor 2 Circuit High Voltage
P1433	GMC	Fuel Level Sensor 2 Circuit High Voltage
P1433	OLDSMOBILE	Fuel Level Sensor 2 Circuit High Voltage
P1433	OTHER	A/C Refrigerant Temperature Circuit Low
P1433	PLYMOUTH	Fuel Level Sensor 2 Circuit High Voltage
P1433	PONTIAC	Fuel Level Sensor 2 Circuit High Voltage
P1433	SATURN	Fuel Level Sensor 2 Circuit High Voltage
P1433	VOLKSWAGEN	Secondary Air Injection Pump Relay Circuit Open
P1434	OTHER	A/C Refrigerant Temperature Circuit High
P1434	VOLKSWAGEN	Secondary Air Injection Pump Relay Circuit Short To B+
P1435	OTHER	A/C Refrigerant Temperature Circuit Range/Performance
P1435	VOLKSWAGEN	Secondary Air Injection Pump Relay Circuit Short To Ground
P1436	OTHER	A/C Evaporator Air Temperature Circuit Low
P1436	VOLKSWAGEN	Secondary Air Injection Pump Relay Circuit Electrical Malfunction
P1437	OTHER	A/C Evaporator Air Temperature Circuit High
P1438	BMW	Purge Control Valve Control Open Circuit
P1438	OTHER	A/C Evaporator Air Temperature Circuit Range/Performance
P1439	BMW	Purge Control Valve Control Circuit Signal Low
P1439	MAZDA	Floor Temp Switch Circuit
P1439	OTHER	Floor Temperature Switch Circuit Malfunction
P1439	VOLKSWAGEN	EGR Valve Position Sensor Adaptation At Limit
P1440	BMW	Purge Control Valve Control Circuit Signal High
P1440	JAGUAR	Purge Valve Stuck Open
P1440	NISSAN	EVAP Control System Small Leak
P1440	OTHER	Purge Valve Stuck Open
P1440	SUBARU	Fuel Tank Pressure Control System Low Input
P1440	VOLKSWAGEN	EGR Valve Power Stage Open
P1441	BMW	Leakage Diagnostic Pump Control Open Circuit
P1441	BUICK	Evaporative Emission (EVAP) System Flow During Non-Purge
P1441	CADILLAC	Evaporative Emission (EVAP) System Flow During Non-Purge
P1441	CHEVY	Evaporative Emission (EVAP) System Flow During Non-Purge
P1441	CHRYSLER	Evaporative Emission (EVAP) System Flow During Non-Purge
P1441	GM	Evaporative Emission (EVAP) System Flow During Non-Purge
P1441	GMC	Evaporative Emission (EVAP) System Flow During Non-Purge
P1441	JAGUAR	ELC System 1
P1441	NISSAN	Vacuum Cut Valve Bypass Valve
P1441	OLDSMOBILE	Evaporative Emission EVAP System Flow During Non-Purge
P1441	OTHER	Evaporative Emission Control (EVAP) System Leak
P1441	PLYMOUTH	Evaporative Emission EVAP System Flow During Non-Purge
P1441	PONTIAC	Evaporative Emission EVAP System Flow During Non-Purge
P1441	SATURN	Evaporative Emission EVAP System Flow During Non-Purge
P1441	SUBARU	Fuel Tank Pressure Control System High Input
P1441	VOLKSWAGEN	EGR Valve Circuit Open Short To Ground
P1442	BMW	Leakage Diagnostic Pump Control Circuit Signal Low
P1442	BUICK	EVAP Vacuum Switch High Voltage During Ignition On
P1442	CADILLAC	EVAP Vacuum Switch High Voltage During Ignition On
P1442	CHEVY	EVAP Vacuum Switch High Voltage During Ignition On
P1442	CHRYSLER	EVAP Vacuum Switch High Voltage During Ignition On
P1442	FORD	Secondary Air Injection System Monitor Circuit High Voltage
P1442	GM	EVAP Vacuum Switch High Voltage During Ignition On
P1442	GMC	EVAP Vacuum Switch High Voltage During Ignition On
P1442	LINCOLN	Secondary Air Injection System Monitor Circuit High Voltage
P1442	MERCURY	Secondary Air Injection System Monitor Circuit High Voltage
P1442	OLDSMOBILE	EVAP Vacuum Switch High Voltage During Ignition On
P1442	OTHER	Evaporative Emission Control System Leak Detected
P1442	PLYMOUTH	EVAP Vacuum Switch High Voltage During Ignition On
P1442	PONTIAC	EVAP Vacuum Switch High Voltage During Ignition On
P1442	SATURN	EVAP Vacuum Switch High Voltage During Ignition On
P1442	SUBARU	Fuel Level Sensor Circuit Range Performance
P1442	VOLKSWAGEN	EGR Valve Position Sensor Signal Too High
P1443	BMW	Leakage Diagnostic Pump Control Circuit Signal High
P1443	FORD	Evaporative Emission Control System Vacuum System Purge Control Solenoid or Purge Control Valve Fault
P1443	LINCOLN	Evaporative Emission Control System Vacuum System Purge Control Solenoid or Purge Control Valve Fault
P1443	MAZDA	EVAP System Purge Flow Fault
P1443	MERCURY	Evaporative Emission Control System Vacuum System Purge Control Solenoid or Purge Control Valve Fault
P1443	MITSUBISHI	EVAP Purge Control Solenoid 2 Circuit Fault
P1443	NISSAN	EVAP Canister Control Vacuum Switch Circuit Fault
P1443	OTHER	Evaporative Emission Control System Control Valve
P1443	SUBARU	EVAP Control System Vent Control Function Problem
P1443	VOLKSWAGEN	EGR Valve Position Sensor Signal Too Low
P1444	BMW	Diagnostic Module Tank Leakage DM-TL Pump Control Open Circuit
P1444	FORD	Purge Flow Sensor Circuit Input Low
P1444	LINCOLN	Purge Flow Sensor Circuit Input Low
P1444	MAZDA	EVAP Purge Flow Sensor Circuit Low Voltage
P1444	MERCURY	Purge Flow Sensor Circuit Input Low
P1444	NISSAN	Canister Purge Volume Control Solenoid Valve
P1444	OTHER	Purge Flow Sensor Circuit Low Input
P1444	VOLKSWAGEN	EGR Valve Position Sensor Range Performance
P1445	BMW	Diagnostic Module Tank Leakage DM-TL Pump Control Circuit Signal Low
P1445	FORD	Purge Flow Sensor Circuit Input High
P1445	LINCOLN	Purge Flow Sensor Circuit Input High
P1445	MAZDA	EVAP Purge Flow Sensor Circuit High Voltage
P1445	MERCURY	Purge Flow Sensor Circuit Input High
P1445	NISSAN	EVAP Canister Purge Volume Control Valve
P1445	OTHER	Purge Flow Sensor Circuit High Input
P1445	VOLKSWAGEN	Catalyst Temperature Sensor 2 Circuit Range Performance
P1446	BMW	Diagnostic Module Tank Leakage DM-TL Pump Control Circuit Signal High
P1446	MAZDA	Evaporative Vacuum Solenoid Circuit
P1446	NISSAN	EVAP Canister Vent Control Valve Closed
P1446	OTHER	Evaporative Vac Solenoid Circuit Malfunction
P1446	VOLKSWAGEN	Catalyst Temperature Circuit Short To Ground
P1447	BMW	Diagnostic Module Tank Leakage DM-TL Pump Too High During Switching
P1447	JAGUAR	ELC System Closure Valve Flow
P1447	NISSAN	EVAP Control System Purge Flow Monitoring
P1447	OTHER	ELC System Closure Valve Flow Fault
P1447	VOLKSWAGEN	Catalyst Temperature Circuit Open Short To B+
P1448	BMW	Diagnostic Module Tank Leakage DM-TL Pump Too Low During Switching
P1448	JAGUAR	ELC System 2
P1448	NISSAN	EVAP Canister Vent Control Valve Open
P1448	OTHER	ELC System 2 Fault
P1448	VOLKSWAGEN	Catalyst Temperature Sensor 2 Circuit Short To Ground
P1449	BMW	Diagnostic Module Tank Leakage DM-TL Pump Too High
P1449	KIA	Canister Drain Cut Valve Open Or Short 1.8L
P1449	MAZDA	Evaporative Check Solenoid Circuit
P1449	OTHER	Evaporative Check Solenoid Circuit Malfunction
P1449	VOLKSWAGEN	Catalyst Temperature Sensor 2 Circuit Open Short To B+
P1450	BMW	Diagnostic Module Tank Leakage DM-TL Switching Solenoid Open Circuit
P1450	BUICK	Barometric Pressure Sensor Circuit
P1450	CADILLAC	Barometric Pressure Sensor Circuit
P1450	CHEVY	Barometric Pressure Sensor Circuit
P1450	CHRYSLER	Barometric Pressure Sensor Circuit
P1450	FORD	Inability of Evaporative Emission Control System to Bleed Fuel Tank
P1450	GEO	Barometric Pressure Sensor Circuit Fault
P1450	GM	Barometric Pressure Sensor Circuit
P1450	GMC	Barometric Pressure Sensor Circuit
P1450	KIA	Excessive Vacuum Leak
P1450	LINCOLN	Inability of Evaporative Emission Control System to Bleed Fuel Tank
P1450	MAZDA	Unable To Bleed Up Fuel Tank Vacuum
P1450	MERCURY	Inability of Evaporative Emission Control System to Bleed Fuel Tank
P1450	OLDSMOBILE	Barometric Pressure Sensor Circuit
P1450	OTHER	Unable To Bleed Up Fuel Tank Vacuum
P1450	PLYMOUTH	Barometric Pressure Sensor Circuit
P1450	PONTIAC	Barometric Pressure Sensor Circuit
P1450	SATURN	Barometric Pressure Sensor Circuit
P1450	SUZUKI	Barometric Pressure Sensor Too Low Or Too High
